image,Processed Image,Detection Results & Song Recommendations,timestamp
,.gradio\flagged\Processed Image\9297049056d69b86096b\image.webp,"Detected emotion: Happy (Confidence: 63.5%)

Song Recommendations for Happy mood:
• <a href='https://www.youtube.com/watch?v=nfWlot6h_JM&autoplay=1' target='_blank'>Taylor Swift - Shake It Off</a>
• <a href='https://www.youtube.com/watch?v=AgFeZr5ptV8&autoplay=1' target='_blank'>Taylor Swift - 22</a>
• <a href='https://www.youtube.com/watch?v=Y8JFxS1HlDo&autoplay=1' target='_blank'>(G)I-DLE - Queencard</a>
• <a href='https://www.youtube.com/watch?v=1qYz7rfgLWE&autoplay=1' target='_blank'>(G)I-DLE - My Bag</a>
• <a href='https://www.youtube.com/watch?v=c7rCyll5AeY&autoplay=1' target='_blank'>TWICE - Cheer Up</a>
",2025-03-17 22:39:05.682570
,.gradio\flagged\Processed Image\92543a84f80a266be44a\image.webp,"Detected emotion: Sad (Confidence: 49.1%)

Song Recommendations for Sad mood:
• <a href='https://youtube.com/playlist?list=PLWSvYmatuZkhluzeZGwQmcDWyktxinB7h&si=kz6n-v_7SMWn_uiq&shuffle=1' target='_blank'>Your Sad Mood Playlist</a>
• <a href='https://www.youtube.com/watch?v=3tmd-ClpJxA&autoplay=1' target='_blank'>Taylor Swift - All Too Well (10 Minute Version)</a>
• <a href='https://www.youtube.com/watch?v=K-a8s8OLBSE&autoplay=1' target='_blank'>Taylor Swift - Cardigan</a>
• <a href='https://www.youtube.com/watch?v=0WxYwKp0XcA&autoplay=1' target='_blank'>(G)I-DLE - Dahlia</a>
• <a href='https://www.youtube.com/watch?v=6ZUIwj3FgUY&autoplay=1' target='_blank'>(G)I-DLE - Already</a>
",2025-03-17 23:03:19.410511
,.gradio\flagged\Processed Image\c182e379200a2eebe388\image.webp,"Detected emotion: Sad (Confidence: 64.6%)

Song Recommendations for Sad mood:
• <a href='https://youtube.com/playlist?list=PLWSvYmatuZkhluzeZGwQmcDWyktxinB7h&si=kz6n-v_7SMWn_uiq&shuffle=1' target='_blank'>Your Sad Mood Playlist</a>
• <a href='https://www.youtube.com/watch?v=3tmd-ClpJxA&autoplay=1' target='_blank'>Taylor Swift - All Too Well (10 Minute Version)</a>
• <a href='https://www.youtube.com/watch?v=K-a8s8OLBSE&autoplay=1' target='_blank'>Taylor Swift - Cardigan</a>
• <a href='https://www.youtube.com/watch?v=0WxYwKp0XcA&autoplay=1' target='_blank'>(G)I-DLE - Dahlia</a>
• <a href='https://www.youtube.com/watch?v=6ZUIwj3FgUY&autoplay=1' target='_blank'>(G)I-DLE - Already</a>
",2025-03-17 23:04:54.168428
,.gradio\flagged\Processed Image\6fead4e257077ef197bb\image.webp,"Detected emotion: Happy (Confidence: 81.5%)

Song Recommendations for Happy mood:
• <a href='https://youtube.com/playlist?list=PLWSvYmatuZkhOpJy5nKtgFL17Ods4wDKD&si=8jtOTKHK3TebbkNF&shuffle=1' target='_blank'>Your Happy Mood Playlist</a>
• <a href='https://www.youtube.com/watch?v=nfWlot6h_JM&autoplay=1' target='_blank'>Taylor Swift - Shake It Off</a>
• <a href='https://www.youtube.com/watch?v=AgFeZr5ptV8&autoplay=1' target='_blank'>Taylor Swift - 22</a>
• <a href='https://www.youtube.com/watch?v=Y8JFxS1HlDo&autoplay=1' target='_blank'>(G)I-DLE - Queencard</a>
• <a href='https://www.youtube.com/watch?v=1qYz7rfgLWE&autoplay=1' target='_blank'>(G)I-DLE - My Bag</a>
",2025-03-17 23:06:00.014028
,.gradio\flagged\Processed Image\e0001d036c1f44191314\image.webp,"Detected emotion: Happy (Confidence: 52.0%)

Song Recommendations for Happy mood:
• <a href='https://youtube.com/playlist?list=PLWSvYmatuZkhOpJy5nKtgFL17Ods4wDKD&si=8jtOTKHK3TebbkNF&shuffle=1' target='_blank'>Your Happy Mood Playlist</a>
• <a href='https://www.youtube.com/watch?v=nfWlot6h_JM&autoplay=1' target='_blank'>Taylor Swift - Shake It Off</a>
• <a href='https://www.youtube.com/watch?v=AgFeZr5ptV8&autoplay=1' target='_blank'>Taylor Swift - 22</a>
• <a href='https://www.youtube.com/watch?v=Y8JFxS1HlDo&autoplay=1' target='_blank'>(G)I-DLE - Queencard</a>
• <a href='https://www.youtube.com/watch?v=1qYz7rfgLWE&autoplay=1' target='_blank'>(G)I-DLE - My Bag</a>
",2025-03-17 23:10:31.241733
,.gradio\flagged\Processed Image\9712172cc08fd0eb48fc\image.webp,No face detected,2025-03-17 23:11:15.831603
,.gradio\flagged\Processed Image\bbb275b3a81bce87f767\image.webp,"Detected emotion: Sad (Confidence: 92.0%)

Song Recommendations for Sad mood:
• <a href='https://youtube.com/playlist?list=PLWSvYmatuZkhluzeZGwQmcDWyktxinB7h&si=kz6n-v_7SMWn_uiq&shuffle=1' target='_blank'>Your Sad Mood Playlist</a>
• <a href='https://www.youtube.com/watch?v=3tmd-ClpJxA&autoplay=1' target='_blank'>Taylor Swift - All Too Well (10 Minute Version)</a>
• <a href='https://www.youtube.com/watch?v=K-a8s8OLBSE&autoplay=1' target='_blank'>Taylor Swift - Cardigan</a>
• <a href='https://www.youtube.com/watch?v=0WxYwKp0XcA&autoplay=1' target='_blank'>(G)I-DLE - Dahlia</a>
• <a href='https://www.youtube.com/watch?v=6ZUIwj3FgUY&autoplay=1' target='_blank'>(G)I-DLE - Already</a>
",2025-03-17 23:17:42.612996
,.gradio\flagged\Processed Image\438d74de26b0cb07b466\image.webp,"Detected emotion: Happy (Confidence: 92.2%)
Detected emotion: Neutral (Confidence: 38.9%)

Song Recommendations for Happy mood:
• <a href='https://youtube.com/playlist?list=PLWSvYmatuZkhOpJy5nKtgFL17Ods4wDKD&si=8jtOTKHK3TebbkNF&shuffle=1' target='_blank'>Your Happy Mood Playlist</a>
• <a href='https://www.youtube.com/watch?v=nfWlot6h_JM&autoplay=1' target='_blank'>Taylor Swift - Shake It Off</a>
• <a href='https://www.youtube.com/watch?v=AgFeZr5ptV8&autoplay=1' target='_blank'>Taylor Swift - 22</a>
• <a href='https://www.youtube.com/watch?v=Y8JFxS1HlDo&autoplay=1' target='_blank'>(G)I-DLE - Queencard</a>
• <a href='https://www.youtube.com/watch?v=1qYz7rfgLWE&autoplay=1' target='_blank'>(G)I-DLE - My Bag</a>

Song Recommendations for Neutral mood:
• <a href='YOUR_PLAYLIST_URL_HERE&shuffle=1' target='_blank'>Your Neutral Mood Playlist</a>
• <a href='https://www.youtube.com/watch?v=ic8j13piAhQ&autoplay=1' target='_blank'>Taylor Swift - Cruel Summer</a>
• <a href='https://www.youtube.com/watch?v=rg6t2fR5_90&autoplay=1' target='_blank'>Taylor Swift - Karma</a>
• <a href='https://www.youtube.com/watch?v=f5_QQ8xlwQg&autoplay=1' target='_blank'>(G)I-DLE - I DO</a>
• <a href='https://www.youtube.com/watch?v=Y8JFxS1HlDo&autoplay=1' target='_blank'>(G)I-DLE - Paradise</a>
",2025-03-18 08:15:23.887899
,.gradio\flagged\Processed Image\fe8c39ab94f391146879\image.webp,"Detected emotion: Sad (Confidence: 90.9%)
Detected emotion: Happy (Confidence: 80.5%)

Song Recommendations for Sad mood:
• <a href='https://youtube.com/playlist?list=PLWSvYmatuZkhluzeZGwQmcDWyktxinB7h&si=kz6n-v_7SMWn_uiq&shuffle=1' target='_blank'>Your Sad Mood Playlist</a>
• <a href='https://www.youtube.com/watch?v=3tmd-ClpJxA&autoplay=1' target='_blank'>Taylor Swift - All Too Well (10 Minute Version)</a>
• <a href='https://www.youtube.com/watch?v=K-a8s8OLBSE&autoplay=1' target='_blank'>Taylor Swift - Cardigan</a>
• <a href='https://www.youtube.com/watch?v=0WxYwKp0XcA&autoplay=1' target='_blank'>(G)I-DLE - Dahlia</a>
• <a href='https://www.youtube.com/watch?v=6ZUIwj3FgUY&autoplay=1' target='_blank'>(G)I-DLE - Already</a>

Song Recommendations for Happy mood:
• <a href='https://youtube.com/playlist?list=PLWSvYmatuZkhOpJy5nKtgFL17Ods4wDKD&si=8jtOTKHK3TebbkNF&shuffle=1' target='_blank'>Your Happy Mood Playlist</a>
• <a href='https://www.youtube.com/watch?v=nfWlot6h_JM&autoplay=1' target='_blank'>Taylor Swift - Shake It Off</a>
• <a href='https://www.youtube.com/watch?v=AgFeZr5ptV8&autoplay=1' target='_blank'>Taylor Swift - 22</a>
• <a href='https://www.youtube.com/watch?v=Y8JFxS1HlDo&autoplay=1' target='_blank'>(G)I-DLE - Queencard</a>
• <a href='https://www.youtube.com/watch?v=1qYz7rfgLWE&autoplay=1' target='_blank'>(G)I-DLE - My Bag</a>
",2025-03-18 08:15:46.321002
,.gradio\flagged\Processed Image\5936d4999736fd04df11\image.webp,"Detected emotion: Happy (Confidence: 83.7%)

Song Recommendations for Happy mood:
• <a href='https://youtube.com/playlist?list=PLWSvYmatuZkhOpJy5nKtgFL17Ods4wDKD&si=8jtOTKHK3TebbkNF&shuffle=1' target='_blank'>Your Happy Mood Playlist</a>
• <a href='https://www.youtube.com/watch?v=nfWlot6h_JM&autoplay=1' target='_blank'>Taylor Swift - Shake It Off</a>
• <a href='https://www.youtube.com/watch?v=AgFeZr5ptV8&autoplay=1' target='_blank'>Taylor Swift - 22</a>
• <a href='https://www.youtube.com/watch?v=Y8JFxS1HlDo&autoplay=1' target='_blank'>(G)I-DLE - Queencard</a>
• <a href='https://www.youtube.com/watch?v=1qYz7rfgLWE&autoplay=1' target='_blank'>(G)I-DLE - My Bag</a>
",2025-03-20 10:17:11.709141
