image,Processed Image,Detection Results,timestamp
,.gradio\flagged\Processed Image\e3b95f270a36a3a44df0\image.webp,"Detected emotion: Neutral (Confidence: 50.1%)
",2025-03-17 21:38:04.005715
,.gradio\flagged\Processed Image\5e7cfcab96f3e4efa2f7\image.webp,"Detected emotion: Sad (Confidence: 94.8%)
",2025-03-17 21:38:08.678439
